date,region,medicine,units_sold
2022-04-08,south,metformin,106
2022-04-08,south,amlodipine,94
2022-04-08,south,salbutamol,169
2022-04-08,south,ors,135
2022-04-08,east,paracetamol,286
2022-04-08,east,metformin,87
2022-04-08,east,amlodipine,231
2022-04-08,east,salbutamol,213
2022-04-08,east,ors,294
2022-04-08,west,paracetamol,116
2022-04-08,west,metformin,170
2022-04-08,west,amlodipine,175
2022-04-08,west,salbutamol,256
2022-04-08,west,ors,60
2022-04-08,central,paracetamol,147
2022-04-08,central,metformin,204
2022-04-08,central,amlodipine,136
2022-04-08,central,salbutamol,194
2022-04-08,central,ors,171
2022-04-09,north,paracetamol,264
2022-04-09,north,metformin,147
2022-04-09,north,amlodipine,262
2022-04-09,north,salbutamol,82
2022-04-09,north,ors,182
2022-04-09,south,paracetamol,172
2022-04-09,south,metformin,293
2022-04-09,south,amlodipine,130
2022-04-09,south,salbutamol,111
2022-04-09,south,ors,114
2022-04-09,east,paracetamol,248
2022-04-09,east,metformin,174
2022-04-09,east,amlodipine,244
2022-04-09,east,salbutamol,139
2022-04-09,east,ors,257
2022-04-09,west,paracetamol,257
2022-04-09,west,metformin,93
2022-04-09,west,amlodipine,282
2022-04-09,west,salbutamol,170
2022-04-09,west,ors,191
2022-04-09,central,paracetamol,285
2022-04-09,central,metformin,267
2022-04-09,central,amlodipine,140
2022-04-09,central,salbutamol,106
2022-04-09,central,ors,97
2022-04-10,north,paracetamol,194
2022-04-10,north,metformin,93
2022-04-10,north,amlodipine,181
2022-04-10,north,salbutamol,130
2022-04-10,north,ors,146
2022-04-10,south,paracetamol,79
2022-04-10,south,metformin,170
2022-04-10,south,amlodipine,134
2022-04-10,south,salbutamol,258
2022-04-10,south,ors,252
2022-04-10,east,paracetamol,292
2022-04-10,east,metformin,232
2022-04-10,east,amlodipine,207
2022-04-10,east,salbutamol,195
2022-04-10,east,ors,133
2022-04-10,west,paracetamol,147
2022-04-10,west,metformin,282
2022-04-10,west,amlodipine,141
2022-04-10,west,salbutamol,122
2022-04-10,west,ors,221
2022-04-10,central,paracetamol,239
2022-04-10,central,metformin,80
2022-04-10,central,amlodipine,158
2022-04-10,central,salbutamol,65
2022-04-10,central,ors,144
2022-04-11,north,paracetamol,270
2022-04-11,north,metformin,126
2022-04-11,north,amlodipine,200
2022-04-11,north,salbutamol,191
2022-04-11,north,ors,280
2022-04-11,south,paracetamol,51
2022-04-11,south,metformin,189
2022-04-11,south,amlodipine,235
2022-04-11,south,salbutamol,177
2022-04-11,south,ors,141
2022-04-11,east,paracetamol,273
2022-04-11,east,metformin,233
2022-04-11,east,amlodipine,290
2022-04-11,east,salbutamol,73
2022-04-11,east,ors,86
2022-04-11,west,paracetamol,78
2022-04-11,west,metformin,293
2022-04-11,west,amlodipine,91
2022-04-11,west,salbutamol,67
2022-04-11,west,ors,180
2022-04-11,central,paracetamol,254
2022-04-11,central,metformin,62
2022-04-11,central,amlodipine,155
2022-04-11,central,salbutamol,206
2022-04-11,central,ors,243
2022-04-12,north,paracetamol,108
2022-04-12,north,metformin,141
2022-04-12,north,amlodipine,225
2022-04-12,north,salbutamol,53
2022-04-12,north,ors,100
2022-04-12,south,paracetamol,182
2022-04-12,south,metformin,216
2022-04-12,south,amlodipine,90
2022-04-12,south,salbutamol,54
2022-04-12,south,ors,185
2022-04-12,east,paracetamol,275
2022-04-12,east,metformin,295
2022-04-12,east,amlodipine,233
2022-04-12,east,salbutamol,202
2022-04-12,east,ors,140
2022-04-12,west,paracetamol,229
2022-04-12,west,metformin,101
2022-04-12,west,amlodipine,184
2022-04-12,west,salbutamol,238
2022-04-12,west,ors,277
2022-04-12,central,paracetamol,273
2022-04-12,central,metformin,262
2022-04-12,central,amlodipine,96
2022-04-12,central,salbutamol,176
2022-04-12,central,ors,131
2022-04-13,north,paracetamol,115
2022-04-13,north,metformin,236
2022-04-13,north,amlodipine,287
2022-04-13,north,salbutamol,283
2022-04-13,north,ors,182
2022-04-13,south,paracetamol,221
2022-04-13,south,metformin,219
2022-04-13,south,amlodipine,299
2022-04-13,south,salbutamol,110
2022-04-13,south,ors,240
2022-04-13,east,paracetamol,99
2022-04-13,east,metformin,215
2022-04-13,east,amlodipine,269
2022-04-13,east,salbutamol,272
2022-04-13,east,ors,231
2022-04-13,west,paracetamol,221
2022-04-13,west,metformin,201
2022-04-13,west,amlodipine,177
2022-04-13,west,salbutamol,112
2022-04-13,west,ors,274
2022-04-13,central,paracetamol,216
2022-04-13,central,metformin,189
2022-04-13,central,amlodipine,240
2022-04-13,central,salbutamol,152
2022-04-13,central,ors,58
2022-04-14,north,paracetamol,293
2022-04-14,north,metformin,128
2022-04-14,north,amlodipine,136
2022-04-14,north,salbutamol,285
2022-04-14,north,ors,158
2022-04-14,south,paracetamol,71
2022-04-14,south,metformin,85
2022-04-14,south,amlodipine,123
2022-04-14,south,salbutamol,205
2022-04-14,south,ors,105
2022-04-14,east,paracetamol,148
2022-04-14,east,metformin,297
2022-04-14,east,amlodipine,206
2022-04-14,east,salbutamol,54
2022-04-14,east,ors,53
2022-04-14,west,paracetamol,228
2022-04-14,west,metformin,64
2022-04-14,west,amlodipine,271
2022-04-14,west,salbutamol,237
2022-04-14,west,ors,75
2022-04-14,central,paracetamol,72
2022-04-14,central,metformin,174
2022-04-14,central,amlodipine,152
2022-04-14,central,salbutamol,78
2022-04-14,central,ors,135
2022-04-15,north,paracetamol,276
2022-04-15,north,metformin,106
2022-04-15,north,amlodipine,111
2022-04-15,north,salbutamol,236
2022-04-15,north,ors,97
2022-04-15,south,paracetamol,160
2022-04-15,south,metformin,259
2022-04-15,south,amlodipine,84
2022-04-15,south,salbutamol,95
2022-04-15,south,ors,82
2022-04-15,east,paracetamol,120
2022-04-15,east,metformin,275
2022-04-15,east,amlodipine,59
2022-04-15,east,salbutamol,265
2022-04-15,east,ors,266
2022-04-15,west,paracetamol,225
2022-04-15,west,metformin,93
2022-04-15,west,amlodipine,268
2022-04-15,west,salbutamol,175
2022-04-15,west,ors,163
2022-04-15,central,paracetamol,247
2022-04-15,central,metformin,172
2022-04-15,central,amlodipine,112
2022-04-15,central,salbutamol,98
2022-04-15,central,ors,249
2022-04-16,north,paracetamol,134
2022-04-16,north,metformin,90
2022-04-16,north,amlodipine,260
2022-04-16,north,salbutamol,147
2022-04-16,north,ors,88
2022-04-16,south,paracetamol,156
2022-04-16,south,metformin,200
2022-04-16,south,amlodipine,62
2022-04-16,south,salbutamol,155
2022-04-16,south,ors,160
2022-04-16,east,paracetamol,230
2022-04-16,east,metformin,280
2022-04-16,east,amlodipine,269
2022-04-16,east,salbutamol,119
2022-04-16,east,ors,106
2022-04-16,west,paracetamol,125
2022-04-16,west,metformin,244
2022-04-16,west,amlodipine,225
2022-04-16,west,salbutamol,69
2022-04-16,west,ors,282
2022-04-16,central,paracetamol,283
2022-04-16,central,metformin,111
2022-04-16,central,amlodipine,222
2022-04-16,central,salbutamol,112
2022-04-16,central,ors,185
2022-04-17,north,paracetamol,203
2022-04-17,north,metformin,87
2022-04-17,north,amlodipine,141
2022-04-17,north,salbutamol,148
2022-04-17,north,ors,157
2022-04-17,south,paracetamol,154
2022-04-17,south,metformin,218
2022-04-17,south,amlodipine,156
2022-04-17,south,salbutamol,151
2022-04-17,south,ors,179
2022-04-17,east,paracetamol,56
2022-04-17,east,metformin,176
2022-04-17,east,amlodipine,154
2022-04-17,east,salbutamol,202
2022-04-17,east,ors,100
2022-04-17,west,paracetamol,99
2022-04-17,west,metformin,273
2022-04-17,west,amlodipine,113
2022-04-17,west,salbutamol,189
2022-04-17,west,ors,230
2022-04-17,central,paracetamol,124
2022-04-17,central,metformin,59
2022-04-17,central,amlodipine,238
2022-04-17,central,salbutamol,232
2022-04-17,central,ors,148
2022-04-18,north,paracetamol,285
2022-04-18,north,metformin,117
2022-04-18,north,amlodipine,219
2022-04-18,north,salbutamol,115
2022-04-18,north,ors,221
2022-04-18,south,paracetamol,77
2022-04-18,south,metformin,156
2022-04-18,south,amlodipine,159
2022-04-18,south,salbutamol,160
2022-04-18,south,ors,127
2022-04-18,east,paracetamol,235
2022-04-18,east,metformin,285
2022-04-18,east,amlodipine,142
2022-04-18,east,salbutamol,179
2022-04-18,east,ors,232
2022-04-18,west,paracetamol,83
2022-04-18,west,metformin,274
2022-04-18,west,amlodipine,197
2022-04-18,west,salbutamol,96
2022-04-18,west,ors,271
2022-04-18,central,paracetamol,167
2022-04-18,central,metformin,177
2022-04-18,central,amlodipine,283
2022-04-18,central,salbutamol,75
2022-04-18,central,ors,133
2022-04-19,north,paracetamol,50
2022-04-19,north,metformin,242
2022-04-19,north,amlodipine,266
2022-04-19,north,salbutamol,146
2022-04-19,north,ors,136
2022-04-19,south,paracetamol,124
2022-04-19,south,metformin,157
2022-04-19,south,amlodipine,64
2022-04-19,south,salbutamol,191
2022-04-19,south,ors,104
2022-04-19,east,paracetamol,178
2022-04-19,east,metformin,82
2022-04-19,east,amlodipine,119
2022-04-19,east,salbutamol,105
2022-04-19,east,ors,72
2022-04-19,west,paracetamol,103
2022-04-19,west,metformin,139
2022-04-19,west,amlodipine,180
2022-04-19,west,salbutamol,95
2022-04-19,west,ors,296
2022-04-19,central,paracetamol,183
2022-04-19,central,metformin,281
2022-04-19,central,amlodipine,293
2022-04-19,central,salbutamol,202
2022-04-19,central,ors,288
2022-04-20,north,paracetamol,66
2022-04-20,north,metformin,205
2022-04-20,north,amlodipine,209
2022-04-20,north,salbutamol,142
2022-04-20,north,ors,72
2022-04-20,south,paracetamol,282
2022-04-20,south,metformin,193
2022-04-20,south,amlodipine,145
2022-04-20,south,salbutamol,203
2022-04-20,south,ors,210
2022-04-20,east,paracetamol,235
2022-04-20,east,metformin,225
2022-04-20,east,amlodipine,132
2022-04-20,east,salbutamol,104
2022-04-20,east,ors,218
2022-04-20,west,paracetamol,111
2022-04-20,west,metformin,194
2022-04-20,west,amlodipine,151
2022-04-20,west,salbutamol,108
2022-04-20,west,ors,191
2022-04-20,central,paracetamol,259
2022-04-20,central,metformin,198
2022-04-20,central,amlodipine,240
2022-04-20,central,salbutamol,223
2022-04-20,central,ors,104
2022-04-21,north,paracetamol,111
2022-04-21,north,metformin,216
2022-04-21,north,amlodipine,219
2022-04-21,north,salbutamol,97
2022-04-21,north,ors,152
2022-04-21,south,paracetamol,77
2022-04-21,south,metformin,133
2022-04-21,south,amlodipine,183
2022-04-21,south,salbutamol,108
2022-04-21,south,ors,139
2022-04-21,east,paracetamol,119
2022-04-21,east,metformin,216
2022-04-21,east,amlodipine,234
2022-04-21,east,salbutamol,231
2022-04-21,east,ors,109
2022-04-21,west,paracetamol,267
2022-04-21,west,metformin,194
2022-04-21,west,amlodipine,217
2022-04-21,west,salbutamol,115
2022-04-21,west,ors,164
2022-04-21,central,paracetamol,173
2022-04-21,central,metformin,262
2022-04-21,central,amlodipine,231
2022-04-21,central,salbutamol,120
2022-04-21,central,ors,93
2022-04-22,north,paracetamol,133
2022-04-22,north,metformin,244
2022-04-22,north,amlodipine,106
2022-04-22,north,salbutamol,85
2022-04-22,north,ors,106
2022-04-22,south,paracetamol,170
2022-04-22,south,metformin,220
2022-04-22,south,amlodipine,93
2022-04-22,south,salbutamol,111
2022-04-22,south,ors,164
2022-04-22,east,paracetamol,132
2022-04-22,east,metformin,110
2022-04-22,east,amlodipine,143
2022-04-22,east,salbutamol,60
2022-04-22,east,ors,126
2022-04-22,west,paracetamol,169
2022-04-22,west,metformin,210
2022-04-22,west,amlodipine,151
2022-04-22,west,salbutamol,295
2022-04-22,west,ors,170
2022-04-22,central,paracetamol,161
2022-04-22,central,metformin,115
2022-04-22,central,amlodipine,159
2022-04-22,central,salbutamol,169
2022-04-22,central,ors,72
2022-04-23,north,paracetamol,291
2022-04-23,north,metformin,226
2022-04-23,north,amlodipine,197
2022-04-23,north,salbutamol,291
2022-04-23,north,ors,292
2022-04-23,south,paracetamol,271
2022-04-23,south,metformin,64
2022-04-23,south,amlodipine,243
2022-04-23,south,salbutamol,79
2022-04-23,south,ors,266
2022-04-23,east,paracetamol,53
2022-04-23,east,metformin,113
2022-04-23,east,amlodipine,114
2022-04-23,east,salbutamol,57
2022-04-23,east,ors,101
2022-04-23,west,paracetamol,191
2022-04-23,west,metformin,107
2022-04-23,west,amlodipine,60
2022-04-23,west,salbutamol,108
2022-04-23,west,ors,73
2022-04-23,central,paracetamol,137
2022-04-23,central,metformin,209
2022-04-23,central,amlodipine,266
2022-04-23,central,salbutamol,95
2022-04-23,central,ors,77
2022-04-24,north,paracetamol,65
2022-04-24,north,metformin,91
2022-04-24,north,amlodipine,152
2022-04-24,north,salbutamol,65
2022-04-24,north,ors,149
2022-04-24,south,paracetamol,189
2022-04-24,south,metformin,253
2022-04-24,south,amlodipine,239
2022-04-24,south,salbutamol,83
2022-04-24,south,ors,87
2022-04-24,east,paracetamol,176
2022-04-24,east,metformin,261
2022-04-24,east,amlodipine,224
2022-04-24,east,salbutamol,256
2022-04-24,east,ors,71
2022-04-24,west,paracetamol,129
2022-04-24,west,metformin,137
2022-04-24,west,amlodipine,52
2022-04-24,west,salbutamol,50
2022-04-24,west,ors,102
2022-04-24,central,paracetamol,241
2022-04-24,central,metformin,221
2022-04-24,central,amlodipine,96
2022-04-24,central,salbutamol,292
2022-04-24,central,ors,215
2022-04-25,north,paracetamol,240
2022-04-25,north,metformin,164
2022-04-25,north,amlodipine,258
2022-04-25,north,salbutamol,90
2022-04-25,north,ors,198
2022-04-25,south,paracetamol,222
2022-04-25,south,metformin,288
2022-04-25,south,amlodipine,289
2022-04-25,south,salbutamol,190
2022-04-25,south,ors,243
2022-04-25,east,paracetamol,115
2022-04-25,east,metformin,92
2022-04-25,east,amlodipine,239
2022-04-25,east,salbutamol,138
2022-04-25,east,ors,269
2022-04-25,west,paracetamol,225
2022-04-25,west,metformin,162
2022-04-25,west,amlodipine,75
2022-04-25,west,salbutamol,148
2022-04-25,west,ors,269
2022-04-25,central,paracetamol,110
2022-04-25,central,metformin,174
2022-04-25,central,amlodipine,299
2022-04-25,central,salbutamol,168
2022-04-25,central,ors,111
2022-04-26,north,paracetamol,274
2022-04-26,north,metformin,131
2022-04-26,north,amlodipine,191
2022-04-26,north,salbutamol,231
2022-04-26,north,ors,218
2022-04-26,south,paracetamol,237
2022-04-26,south,metformin,186
2022-04-26,south,amlodipine,93
2022-04-26,south,salbutamol,105
2022-04-26,south,ors,271
2022-04-26,east,paracetamol,52
2022-04-26,east,metformin,147
2022-04-26,east,amlodipine,146
2022-04-26,east,salbutamol,140
2022-04-26,east,ors,108
2022-04-26,west,paracetamol,122
2022-04-26,west,metformin,190
2022-04-26,west,amlodipine,207
2022-04-26,west,salbutamol,102
2022-04-26,west,ors,257
2022-04-26,central,paracetamol,228
2022-04-26,central,metformin,91
2022-04-26,central,amlodipine,203
2022-04-26,central,salbutamol,236
2022-04-26,central,ors,118
2022-04-27,north,paracetamol,159
2022-04-27,north,metformin,268
2022-04-27,north,amlodipine,256
2022-04-27,north,salbutamol,141
2022-04-27,north,ors,52
2022-04-27,south,paracetamol,90
2022-04-27,south,metformin,174
2022-04-27,south,amlodipine,50
2022-04-27,south,salbutamol,242
2022-04-27,south,ors,164
2022-04-27,east,paracetamol,119
2022-04-27,east,metformin,252
2022-04-27,east,amlodipine,175
2022-04-27,east,salbutamol,99
2022-04-27,east,ors,287
2022-04-27,west,paracetamol,129
2022-04-27,west,metformin,146
2022-04-27,west,amlodipine,265
2022-04-27,west,salbutamol,108
2022-04-27,west,ors,273
2022-04-27,central,paracetamol,123
2022-04-27,central,metformin,112
2022-04-27,central,amlodipine,74
2022-04-27,central,salbutamol,187
2022-04-27,central,ors,126
2022-04-28,north,paracetamol,173
2022-04-28,north,metformin,178
2022-04-28,north,amlodipine,148
2022-04-28,north,salbutamol,63
2022-04-28,north,ors,198
2022-04-28,south,paracetamol,289
2022-04-28,south,metformin,296
2022-04-28,south,amlodipine,235
2022-04-28,south,salbutamol,293
2022-04-28,south,ors,87
2022-04-28,east,paracetamol,50
2022-04-28,east,metformin,133
2022-04-28,east,amlodipine,297
2022-04-28,east,salbutamol,182
2022-04-28,east,ors,281
2022-04-28,west,paracetamol,93
2022-04-28,west,metformin,273
2022-04-28,west,amlodipine,242
2022-04-28,west,salbutamol,286
2022-04-28,west,ors,299
2022-04-28,central,paracetamol,282
2022-04-28,central,metformin,293
2022-04-28,central,amlodipine,106
2022-04-28,central,salbutamol,297
2022-04-28,central,ors,153
2022-04-29,north,paracetamol,94
2022-04-29,north,metformin,109
2022-04-29,north,amlodipine,115
2022-04-29,north,salbutamol,272
2022-04-29,north,ors,96
2022-04-29,south,paracetamol,287
2022-04-29,south,metformin,164
2022-04-29,south,amlodipine,75
2022-04-29,south,salbutamol,186
2022-04-29,south,ors,100
2022-04-29,east,paracetamol,143
2022-04-29,east,metformin,159
2022-04-29,east,amlodipine,185
2022-04-29,east,salbutamol,54
2022-04-29,east,ors,88
2022-04-29,west,paracetamol,117
2022-04-29,west,metformin,89
2022-04-29,west,amlodipine,85
2022-04-29,west,salbutamol,198
2022-04-29,west,ors,146
2022-04-29,central,paracetamol,75
2022-04-29,central,metformin,153
2022-04-29,central,amlodipine,152
2022-04-29,central,salbutamol,124
2022-04-29,central,ors,134
2022-04-30,north,paracetamol,289
2022-04-30,north,metformin,263
2022-04-30,north,amlodipine,162
2022-04-30,north,salbutamol,105
2022-04-30,north,ors,106
2022-04-30,south,paracetamol,236
2022-04-30,south,metformin,177
2022-04-30,south,amlodipine,150
2022-04-30,south,salbutamol,299
2022-04-30,south,ors,184
2022-04-30,east,paracetamol,219
2022-04-30,east,metformin,190
2022-04-30,east,amlodipine,133
2022-04-30,east,salbutamol,256
2022-04-30,east,ors,279
2022-04-30,west,paracetamol,211
2022-04-30,west,metformin,149
2022-04-30,west,amlodipine,230
2022-04-30,west,salbutamol,95
2022-04-30,west,ors,234
2022-04-30,central,paracetamol,110
2022-04-30,central,metformin,266
2022-04-30,central,amlodipine,105
2022-04-30,central,salbutamol,78
2022-04-30,central,ors,160
2022-05-01,north,paracetamol,141
2022-05-01,north,metformin,191
2022-05-01,north,amlodipine,245
2022-05-01,north,salbutamol,151
2022-05-01,north,ors,120
2022-05-01,south,paracetamol,62
2022-05-01,south,metformin,194
2022-05-01,south,amlodipine,206
2022-05-01,south,salbutamol,130
2022-05-01,south,ors,149
2022-05-01,east,paracetamol,132
2022-05-01,east,metformin,267
2022-05-01,east,amlodipine,165
2022-05-01,east,salbutamol,286
2022-05-01,east,ors,174
2022-05-01,west,paracetamol,250
2022-05-01,west,metformin,51
2022-05-01,west,amlodipine,111
2022-05-01,west,salbutamol,69
2022-05-01,west,ors,264
2022-05-01,central,paracetamol,259
2022-05-01,central,metformin,233
2022-05-01,central,amlodipine,139
2022-05-01,central,salbutamol,229
2022-05-01,central,ors,202
2022-05-02,north,paracetamol,111
2022-05-02,north,metformin,66
2022-05-02,north,amlodipine,88
2022-05-02,north,salbutamol,290
2022-05-02,north,ors,59
2022-05-02,south,paracetamol,236
2022-05-02,south,metformin,202
2022-05-02,south,amlodipine,159
2022-05-02,south,salbutamol,77
2022-05-02,south,ors,267
2022-05-02,east,paracetamol,253
2022-05-02,east,metformin,110
2022-05-02,east,amlodipine,107
2022-05-02,east,salbutamol,93
2022-05-02,east,ors,290
2022-05-02,west,paracetamol,132
2022-05-02,west,metformin,200
2022-05-02,west,amlodipine,255
2022-05-02,west,salbutamol,174
2022-05-02,west,ors,194
2022-05-02,central,paracetamol,128
2022-05-02,central,metformin,134
2022-05-02,central,amlodipine,87
2022-05-02,central,salbutamol,79
2022-05-02,central,ors,196
2022-05-03,north,paracetamol,81
2022-05-03,north,metformin,270
2022-05-03,north,amlodipine,263
2022-05-03,north,salbutamol,69
2022-05-03,north,ors,151
2022-05-03,south,paracetamol,279
2022-05-03,south,metformin,113
2022-05-03,south,amlodipine,85
2022-05-03,south,salbutamol,242
2022-05-03,south,ors,260
2022-05-03,east,paracetamol,220
2022-05-03,east,metformin,75
2022-05-03,east,amlodipine,56
2022-05-03,east,salbutamol,83
2022-05-03,east,ors,213
2022-05-03,west,paracetamol,183
2022-05-03,west,metformin,214
2022-05-03,west,amlodipine,111
2022-05-03,west,salbutamol,135
2022-05-03,west,ors,294
2022-05-03,central,paracetamol,122
2022-05-03,central,metformin,284
2022-05-03,central,amlodipine,177
2022-05-03,central,salbutamol,109
2022-05-03,central,ors,270
2022-05-04,north,paracetamol,113
2022-05-04,north,metformin,227
2022-05-04,north,amlodipine,101
2022-05-04,north,salbutamol,194
2022-05-04,north,ors,109
2022-05-04,south,paracetamol,126
2022-05-04,south,metformin,168
2022-05-04,south,amlodipine,258
2022-05-04,south,salbutamol,231
2022-05-04,south,ors,299
2022-05-04,east,paracetamol,187
2022-05-04,east,metformin,174
2022-05-04,east,amlodipine,202
2022-05-04,east,salbutamol,67
2022-05-04,east,ors,113
2022-05-04,west,paracetamol,290
2022-05-04,west,metformin,285
2022-05-04,west,amlodipine,128
2022-05-04,west,salbutamol,108
2022-05-04,west,ors,204
2022-05-04,central,paracetamol,107
2022-05-04,central,metformin,110
2022-05-04,central,amlodipine,260
2022-05-04,central,salbutamol,167
2022-05-04,central,ors,128
2022-05-05,north,paracetamol,286
2022-05-05,north,metformin,120
2022-05-05,north,amlodipine,220
2022-05-05,north,salbutamol,281
2022-05-05,north,ors,293
2022-05-05,south,paracetamol,257
2022-05-05,south,metformin,137
2022-05-05,south,amlodipine,136
2022-05-05,south,salbutamol,188
2022-05-05,south,ors,137
2022-05-05,east,paracetamol,182
2022-05-05,east,metformin,235
2022-05-05,east,amlodipine,88
2022-05-05,east,salbutamol,225
2022-05-05,east,ors,271
2022-05-05,west,paracetamol,129
2022-05-05,west,metformin,69
2022-05-05,west,amlodipine,270
2022-05-05,west,salbutamol,130
2022-05-05,west,ors,68
2022-05-05,central,paracetamol,237
2022-05-05,central,metformin,203
2022-05-05,central,amlodipine,256
2022-05-05,central,salbutamol,202
2022-05-05,central,ors,192
2022-05-06,north,paracetamol,261
2022-05-06,north,metformin,271
2022-05-06,north,amlodipine,198
2022-05-06,north,salbutamol,224
2022-05-06,north,ors,212
2022-05-06,south,paracetamol,221
2022-05-06,south,metformin,183
2022-05-06,south,amlodipine,165
2022-05-06,south,salbutamol,150
2022-05-06,south,ors,252
2022-05-06,east,paracetamol,200
2022-05-06,east,metformin,285
2022-05-06,east,amlodipine,88
2022-05-06,east,salbutamol,250
2022-05-06,east,ors,195
2022-05-06,west,paracetamol,287
2022-05-06,west,metformin,277
2022-05-06,west,amlodipine,217
2022-05-06,west,salbutamol,289
2022-05-06,west,ors,85
2022-05-06,central,paracetamol,205
2022-05-06,central,metformin,241
2022-05-06,central,amlodipine,132
2022-05-06,central,salbutamol,143
2022-05-06,central,ors,235
2022-05-07,north,paracetamol,215
2022-05-07,north,metformin,292
2022-05-07,north,amlodipine,256
2022-05-07,north,salbutamol,221
2022-05-07,north,ors,253
2022-05-07,south,paracetamol,51
2022-05-07,south,metformin,122
2022-05-07,south,amlodipine,84
2022-05-07,south,salbutamol,178
2022-05-07,south,ors,223
2022-05-07,east,paracetamol,237
2022-05-07,east,metformin,112
2022-05-07,east,amlodipine,144
2022-05-07,east,salbutamol,269
2022-05-07,east,ors,94
2022-05-07,west,paracetamol,174
2022-05-07,west,metformin,234
2022-05-07,west,amlodipine,86
2022-05-07,west,salbutamol,56
2022-05-07,west,ors,159
2022-05-07,central,paracetamol,193
2022-05-07,central,metformin,227
2022-05-07,central,amlodipine,191
2022-05-07,central,salbutamol,274
2022-05-07,central,ors,183
2022-05-08,north,paracetamol,238
2022-05-08,north,metformin,198
2022-05-08,north,amlodipine,187
2022-05-08,north,salbutamol,81
2022-05-08,north,ors,183
2022-05-08,south,paracetamol,51
2022-05-08,south,metformin,88
2022-05-08,south,amlodipine,98
2022-05-08,south,salbutamol,76
2022-05-08,south,ors,105
2022-05-08,east,paracetamol,63
2022-05-08,east,metformin,200
2022-05-08,east,amlodipine,152
2022-05-08,east,salbutamol,167
2022-05-08,east,ors,171
2022-05-08,west,paracetamol,262
2022-05-08,west,metformin,154
2022-05-08,west,amlodipine,228
2022-05-08,west,salbutamol,271
2022-05-08,west,ors,74
2022-05-08,central,paracetamol,102
2022-05-08,central,metformin,265
2022-05-08,central,amlodipine,60
2022-05-08,central,salbutamol,212
2022-05-08,central,ors,232
2022-05-09,north,paracetamol,235
2022-05-09,north,metformin,245
2022-05-09,north,amlodipine,86
2022-05-09,north,salbutamol,277
2022-05-09,north,ors,254
2022-05-09,south,paracetamol,58
2022-05-09,south,metformin,77
2022-05-09,south,amlodipine,104
2022-05-09,south,salbutamol,223
2022-05-09,south,ors,257
2022-05-09,east,paracetamol,176
2022-05-09,east,metformin,295
2022-05-09,east,amlodipine,119
2022-05-09,east,salbutamol,76
2022-05-09,east,ors,59
2022-05-09,west,paracetamol,200
2022-05-09,west,metformin,198
2022-05-09,west,amlodipine,267
2022-05-09,west,salbutamol,222
2022-05-09,west,ors,175
2022-05-09,central,paracetamol,52
2022-05-09,central,metformin,236
2022-05-09,central,amlodipine,92
2022-05-09,central,salbutamol,148
2022-05-09,central,ors,56
2022-05-10,north,paracetamol,204
2022-05-10,north,metformin,239
2022-05-10,north,amlodipine,91
2022-05-10,north,salbutamol,146
2022-05-10,north,ors,53
2022-05-10,south,paracetamol,267
2022-05-10,south,metformin,239
2022-05-10,south,amlodipine,185
2022-05-10,south,salbutamol,133
2022-05-10,south,ors,194
2022-05-10,east,paracetamol,54
2022-05-10,east,metformin,240
2022-05-10,east,amlodipine,162
2022-05-10,east,salbutamol,186
2022-05-10,east,ors,185
2022-05-10,west,paracetamol,56
2022-05-10,west,metformin,86
2022-05-10,west,amlodipine,277
2022-05-10,west,salbutamol,104
2022-05-10,west,ors,116
2022-05-10,central,paracetamol,185
2022-05-10,central,metformin,118
2022-05-10,central,amlodipine,54
2022-05-10,central,salbutamol,66
2022-05-10,central,ors,160
2022-05-11,north,paracetamol,107
2022-05-11,north,metformin,240
2022-05-11,north,amlodipine,204
2022-05-11,north,salbutamol,153
2022-05-11,north,ors,280
2022-05-11,south,paracetamol,162
2022-05-11,south,metformin,253
2022-05-11,south,amlodipine,141
2022-05-11,south,salbutamol,117
2022-05-11,south,ors,293
2022-05-11,east,paracetamol,77
2022-05-11,east,metformin,138
2022-05-11,east,amlodipine,235
2022-05-11,east,salbutamol,227
2022-05-11,east,ors,277
2022-05-11,west,paracetamol,155
2022-05-11,west,metformin,116
2022-05-11,west,amlodipine,171
2022-05-11,west,salbutamol,208
2022-05-11,west,ors,150
2022-05-11,central,paracetamol,61
2022-05-11,central,metformin,232
2022-05-11,central,amlodipine,278
2022-05-11,central,salbutamol,150
2022-05-11,central,ors,53
2022-05-12,north,paracetamol,271
2022-05-12,north,metformin,170
2022-05-12,north,amlodipine,279
2022-05-12,north,salbutamol,91
2022-05-12,north,ors,279
2022-05-12,south,paracetamol,268
2022-05-12,south,metformin,231
2022-05-12,south,amlodipine,71
2022-05-12,south,salbutamol,50
2022-05-12,south,ors,97
2022-05-12,east,paracetamol,92
2022-05-12,east,metformin,151
2022-05-12,east,amlodipine,197
2022-05-12,east,salbutamol,67
2022-05-12,east,ors,247
2022-05-12,west,paracetamol,226
2022-05-12,west,metformin,125
2022-05-12,west,amlodipine,194
2022-05-12,west,salbutamol,230
2022-05-12,west,ors,199
2022-05-12,central,paracetamol,131
2022-05-12,central,metformin,59
2022-05-12,central,amlodipine,73
2022-05-12,central,salbutamol,261
2022-05-12,central,ors,189
2022-05-13,north,paracetamol,53
2022-05-13,north,metformin,219
2022-05-13,north,amlodipine,175
2022-05-13,north,salbutamol,182
2022-05-13,north,ors,203
